Sort,Variabele,Begrotingsprogramma,Thema,Label,Labelkort,Definitie,Bron,Peildatum,Verschijningsfrequentie,Rekeneenheid,Symbool,Groep,Format,Berekendevariabelen,Themakerncijfertabel,Tussenkopjekerncijfertabel,Kleurenpalet,Legendacode,Sdminimumbevtotaal,Sdminimumwvoorbag,Topicarea,Label1,Definition,Referencedate,Frequency
5570,BHVESTF,Economie,Economie sectie,Vestigingen F: bouwnijverheid,Vestigingen F: bouwnijverheid,"Aantal vestigingen met de sectiecode F: Bouwnijverheid. 















Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal 1 werkzaam persoon. Waarden van 1, 2, 3 of 4 zijn afgerond naar 5.















Sinds 2022 heeft O&S de methodiek overgenomen van LISA, het landelijke vestigings- en banenregister, om het aantal banen en vestigingen per jaar te bepalen. De peildatum is bovendien 1 april en niet meer 1 januari. De cijfers tot en met 2011 zijn gebaseerd op de oude methode van O&S, toen de cijfers nog werden gebaseerd op het ARRA-bestand. Vanaf 2012 is de nieuwe LISA-methode gehanteerd waardoor een vergelijking tussen de jaren na 2012 jaren wel mogelijk is.",LISA / O&S,1 april,1 keer per jaar,2,,,F8.,,,,9,3,,,Commercial section,Companies F: construction industry,"Number of companies registered under section code F: construction industry















Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible.",1 April,once a year
5580,BHVESTG1,Economie,Economie sectie,Vestigingen G1: groothandel,Vestigingen G1: groothandel,"Aantal vestigingen met de sectiecode G1: Groothandel. 















Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal 1 werkzaam persoon. Waarden van 1, 2, 3 of 4 zijn afgerond naar 5.















Sinds 2022 heeft O&S de methodiek overgenomen van LISA, het landelijke vestigings- en banenregister, om het aantal banen en vestigingen per jaar te bepalen. De peildatum is bovendien 1 april en niet meer 1 januari. De cijfers tot en met 2011 zijn gebaseerd op de oude methode van O&S, toen de cijfers nog werden gebaseerd op het ARRA-bestand. Vanaf 2012 is de nieuwe LISA-methode gehanteerd waardoor een vergelijking tussen de jaren na 2012 jaren wel mogelijk is.",LISA / O&S,1 april,1 keer per jaar,2,,,F8.,,,,9,3,,,Commercial section,Companies G1: wholesale,"Number of companies registered under section code G1: wholesale















Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible.",1 April,once a year
5590,BHVESTG2,Economie,Economie sectie,Vestigingen G2: detailhandel,Vestigingen G2: detailhandel,"Aantal vestigingen met de sectiecode G2: Detailhandel. 















Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal 1 werkzaam persoon. Waarden van 1, 2, 3 of 4 zijn afgerond naar 5.















Sinds 2022 heeft O&S de methodiek overgenomen van LISA, het landelijke vestigings- en banenregister, om het aantal banen en vestigingen per jaar te bepalen. De peildatum is bovendien 1 april en niet meer 1 januari. De cijfers tot en met 2011 zijn gebaseerd op de oude methode van O&S, toen de cijfers nog werden gebaseerd op het ARRA-bestand. Vanaf 2012 is de nieuwe LISA-methode gehanteerd waardoor een vergelijking tussen de jaren na 2012 jaren wel mogelijk is.",LISA / O&S,1 april,1 keer per jaar,2,,,F8.,,,,9,3,,,Commercial section,Companies G2: retail,"Number of companies registered under section code G2: retail















Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible.",1 April,once a year
2710,ORRECGROEN,Wonen en Groen,Groen,Oppervlakte recreatief groen,Recreatief groen (ha),"Oppervlakte recreatief groen bedoeld voor recreatie en andere activiteiten zoals stadsparken, gedenkparken, tuinparken en natuurparken",Basisregistratie Grootschalige Topografie (BGT),1 januari,"1 keer per jaar, met vier maanden vertraging",2,ha,landinrichting,F5.4,,,,9,3,,,Land cover,Area recreative green (ha),Amount of hectares of recreative green,1 January,"once a year, with a delay of four months"
2715,ORRECGROEN_P,Wonen en Groen,Groen,Oppervlakte: %  recreatief groen,Recreatief groen (%),"Percentage recreatief groen binnen gebiedsindeling bedoeld voor recreatie en andere activiteiten zoals stadsparken, gedenkparken, tuinparken en natuurparken",Basisregistratie Grootschalige Topografie (BGT),1 januari,"1 keer per jaar, met vier maanden vertraging",1,%,landinrichting,F5.2,,,,3,2,,,Land cover,Area: %  recreative green,Percentage of recreative green as a portion of the administrative area,1 January,"once a year, with a delay of four months"
5600,BHVESTH,Economie,Economie sectie,Vestigingen H: transport en logistiek,Vestigingen H: transport en logistiek,"Aantal vestigingen met de sectiecode H: transport en logistiek. 















Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal 1 werkzaam persoon. Waarden van 1, 2, 3 of 4 zijn afgerond naar 5.















Sinds 2022 heeft O&S de methodiek overgenomen van LISA, het landelijke vestigings- en banenregister, om het aantal banen en vestigingen per jaar te bepalen. De peildatum is bovendien 1 april en niet meer 1 januari. De cijfers tot en met 2011 zijn gebaseerd op de oude methode van O&S, toen de cijfers nog werden gebaseerd op het ARRA-bestand. Vanaf 2012 is de nieuwe LISA-methode gehanteerd waardoor een vergelijking tussen de jaren na 2012 jaren wel mogelijk is.",LISA / O&S,1 april,1 keer per jaar,2,,,F8.,,,,9,3,,,Commercial section,Companies H: transport and logistics,"Number of companies registered under section code H: transport and logistics















Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible.",1 April,once a year
5610,BHVESTI,Economie,Economie sectie,Vestigingen I: horeca,Vestigingen I: horeca,"Aantal vestigingen met de sectiecode I: Horeca. 















Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal 1 werkzaam persoon. Waarden van 1, 2, 3 of 4 zijn afgerond naar 5.















Sinds 2022 heeft O&S de methodiek overgenomen van LISA, het landelijke vestigings- en banenregister, om het aantal banen en vestigingen per jaar te bepalen. De peildatum is bovendien 1 april en niet meer 1 januari. De cijfers tot en met 2011 zijn gebaseerd op de oude methode van O&S, toen de cijfers nog werden gebaseerd op het ARRA-bestand. Vanaf 2012 is de nieuwe LISA-methode gehanteerd waardoor een vergelijking tussen de jaren na 2012 jaren wel mogelijk is.",LISA / O&S,1 april,1 keer per jaar,2,,,F8.,,,,9,3,,,Commercial section,Companies I: catering,"Number of companies registered under section code  I: catering















Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible.",1 April,once a year
5620,BHVESTJ,Economie,Economie sectie,Vestigingen J: informatie en communicatie,Vestigingen J: informatie en communicatie,"Aantal vestigingen met de sectiecode J: Informatie en communicatie. 















Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal 1 werkzaam persoon.  















Sinds 1 juli 2008 zijn ook vrije beroepen verplicht zich in te schrijven in het Handelregister. In 2008 leidde dit tot een toename van het aantal geregistreerde artsen en advocaten en in 2009 van de creatieve beroepen. Waarden van 1, 2, 3 of 4 zijn afgerond naar 5.















Sinds 2022 heeft O&S de methodiek overgenomen van LISA, het landelijke vestigings- en banenregister, om het aantal banen en vestigingen per jaar te bepalen. De peildatum is bovendien 1 april en niet meer 1 januari. De cijfers tot en met 2011 zijn gebaseerd op de oude methode van O&S, toen de cijfers nog werden gebaseerd op het ARRA-bestand. Vanaf 2012 is de nieuwe LISA-methode gehanteerd waardoor een vergelijking tussen de jaren na 2012 jaren wel mogelijk is.",LISA / O&S,1 april,1 keer per jaar,2,,,F8.,,,,9,3,,,Commercial section,Companies J: information and communication,"Number of companies registered under section code J: information and communication















Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible.",1 April,once a year
5630,BHVESTK,Economie,Economie sectie,Vestigingen K: financiële instellingen,Vestigingen K: financiële instellingen,"Aantal vestigingen met de sectiecode K: Financiële instellingen. 















Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal 1 werkzaam persoon.  















Sinds 1 juli 2008 zijn ook vrije beroepen verplicht zich in te schrijven in het Handelregister. In 2008 leidde dit tot een toename van het aantal geregistreerde artsen en advocaten en in 2009 van de creatieve beroepen. Waarden van 1, 2, 3 of 4 zijn afgerond naar 5.















Sinds 2022 heeft O&S de methodiek overgenomen van LISA, het landelijke vestigings- en banenregister, om het aantal banen en vestigingen per jaar te bepalen. De peildatum is bovendien 1 april en niet meer 1 januari. De cijfers tot en met 2011 zijn gebaseerd op de oude methode van O&S, toen de cijfers nog werden gebaseerd op het ARRA-bestand. Vanaf 2012 is de nieuwe LISA-methode gehanteerd waardoor een vergelijking tussen de jaren na 2012 jaren wel mogelijk is.",LISA / O&S,1 april,1 keer per jaar,2,,,F8.,,,,9,3,,,Commercial section,Companies K: financial industry,"Number of companies registered under section code K: financial industry















Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible.",1 April,once a year
2775,ORGAFSPARK_M,Wonen en Groen,Groen,Gemiddelde afstand tot parkachtig groen (m),afstand tot parkachtig groen (m),"Gemiddelde fiets- of loopafstand in meter berekend over de weg tussen woningen en ingang van dichtsbijzijnde stadspark, stadsplantsoen of natuurpark van minimaal 1 hectare","Basisregistratie Grootschalige Topografie, Top10NL, Agrarisch areaal Nederland, CBS-gebieden, OpenStreetmap",1 januari,1 keer per jaar,2,m,,F8.,,,,9,3,,,Public space,Average cycle or walking distance to park-like green (m),Average cycle or walking distance in meters over the road between houses and the nearest entrance of city parks and nature parks larger than 1 hectare.,1 January,once a year
2725,ORNTRGROEN_P,Wonen en Groen,Groen,Oppervlakte: % natuurlijk groen,Natuurlijk groen (%),Percentage groen binnen gebiedsindeling met een hoge ecologische waarde,Basisregistratie Grootschalige Topografie (BGT),1 januari,"1 keer per jaar, met vier maanden vertraging",1,%,landinrichting,F5.2,,,,3,2,,,Land cover,Area: % natural green,Percentage of natural green as a portion of the administrative area,1 January,"once a year, with a delay of four months"
2730,ORBUURTGROEN,Wonen en Groen,Groen,Oppervlakte buurtgroen,Buurtgroen (ha),Oppervlakte buurtgroen bedoeld als stedelijke groenvoorziening voor recreatie en natuur,Basisregistratie Grootschalige Topografie (BGT),1 januari,"1 keer per jaar, met vier maanden vertraging",2,ha,landinrichting,F5.4,,,,9,3,,,Land cover,Area neighbouring green (ha),Amount of hectares of neighbouring green,1 January,"once a year, with a delay of four months"
2735,ORBUURTGROEN_P,Wonen en Groen,Groen,Oppervlakte: % buurtgroen,Buurtgroen (%),Percentage buurtgroen binnen gebiedsindeling bedoeld als stedelijke groenvoorziening voor recreatie en natuur,Basisregistratie Grootschalige Topografie (BGT),1 januari,"1 keer per jaar, met vier maanden vertraging",1,%,landinrichting,F5.2,,,,3,2,,,Land cover,Area: % neighbouring green,Percentage of neighbouring green as a portion of the administrative area,1 January,"once a year, with a delay of four months"
2740,ORWATER,Wonen en Groen,Groen,Oppervlakte water,Water (ha),Aantal hectare binnenwater.,Basisregistratie Grootschalige Topografie (BGT),1 januari,"1 keer per jaar, met vier maanden vertraging",2,ha,bodemoppervlakte,F5.2,,,,9,3,,,Public space,Area water (ha),Number of hectares inland water,1 January,"once a year, with a one year delay"
2745,ORWATER_P,Wonen en Groen,Groen,Oppervlakte: % water,Water (%),Aandeel binnenwater op de totale oppervlakte.,Basisregistratie Grootschalige Topografie (BGT),1 januari,"1 keer per jaar, met vier maanden vertraging",1,%,,F5.2,1,,,3,2,,,Public space,Area: % water,Percentage of the total surface area that is water.,1 January,"once a year, with a one year delay"
2750,ORAGRAGROEN,Wonen en Groen,Groen,Oppervlakte agrarisch groen,Agrarisch groen(ha),Oppervlakte groen bedoeld voor agrarisch gebruik,Basisregistratie Grootschalige Topografie (BGT),1 januari,"1 keer per jaar, met vier maanden vertraging",2,ha,landinrichting,F5.4,,,,9,3,,,Land cover,Area agricultural green (ha),Amount of hectares of agricultural green intended for agricultural use,1 January,"once a year, with a delay of four months"
7019,OTOETSL_P,Onderwijs,Onderwijs,overadvisering (%),overadvisering,Aandeel leerlingen in het basisonderwijs in groep 8 waarbij de centrale eindtoets een lager schooladvies voor het voortgezet onderwijs uitwijst dan eerder door de leraar is afgegeven. De cijfers worden gepresenteerd over schoolgebieden. Schooljaar 2019/'20 ontbreekt. Scholen hebben onder de coronamaatregelen geen toets afgenomen.,CBS / DUO / bewerking O&S,1 oktober,1 keer per jaar,,%,,F8.,,,,3,2,,,Education,primary education test lower,Percentage of pupils in the last year of primary education where the final test indicates a lower educational level for secondary education than previously issued by the teacher. The numbers present school areas. School year 2019/'20 is missing. Schools did not take the final test under the corona measures.,1 October,once a year
7034,O_AFSTROOM_P,Onderwijs,Onderwijs,VO: % afstroom VO3,Afstroom (%VO3),"Aandeel van de jongeren in het gebied dat voor het derde jaar voortgezet onderwijs volgt en is afgestroomd naar een lager onderwijsniveau dan het destijds ontvangen basisschooladvies. 







Er worden alleen gegevens gepresenteerd over gebieden met minstens 15 jongeren die voor het derde jaar naar het VO gaan.",O&S,1 oktober,1 keer per jaar,1,%,,F8.,,,,2,1,,,Education,Secondary education: demotion 3rd year,Percentage of secondary school pupils in their 3rd year that are following classes on a lower level than the school advice they received when finishing primary school.,n.a.,once a year
2755,ORAGRAGROEN_P,Wonen en Groen,Groen,Oppervlakte: % agrarisch groen,Agrarisch groen(%),Persentage groen binnen gebiedsindeling bedoeld voor agrarisch gebruik,Basisregistratie Grootschalige Topografie (BGT),1 januari,"1 keer per jaar, met vier maanden vertraging",1,%,landinrichting,F5.2,,,,3,2,,,Land cover,Area: % agricultural green,Percentage of agricultural green as a portion of the administrative area,1 January,"once a year, with a delay of four months"
8030,IMOEITE_P,"Werk, inkomen en participatie",Inkomen,Moeite met rondkomen (%),Moeite rondkomen (%),"Aandeel Amsterdammers van 18 jaar of ouder dat zeer moeilijk,  moeilijk of eerder moeilijk antwoordt op de vraag:







Hoe goed kunt  u rondkomen met uw huishoudinkomen? 















De cijfers op wijk- en buurtniveau zijn modelmatige schattingen van het RIVM op basis van de gezondheidsmonitor van de GGD.















",Staat van de Stad (O&S),1 september,1 keer in de 2 jaar,1,%,,F8.,,,,2,1,,,Income,Difficult to make ends meet (%),Percentage of the population aged 18 and over that has difficulty to make ends meet.,n.a.,every two years
2770,ORBEBOUWD_P,Wonen en Groen,Groen,Oppervlakte: % bebouwd,Bebouwd  (%),Aandeel van de totale opppervlakte dat bestaat uit bebouwd terrein (publiek en privaat) inclusief het bijbehorende erf.,Basisregistratie Grootschalige Topografie (BGT),1 januari,"1 keer per jaar, met vier maanden vertraging",1,%,,F5.2,1,,,3,2,,,Public space,Area: % buildings,"Percentage of the total surface area that is built on (including all properties).  







",1 January,"once a year, with a one year delay"
2695,ORLAND_P,Wonen en Groen,Openbare ruimte,Oppervlakte land (%),Oppervlakte land (%),Percentage landoppervlak ten opzichte van de oppervlakte van het totale gebied,Basisregistratie Grootschalige Topografie (BGT),1 januari,"1 keer per jaar, met vier maanden vertraging",1,%,landinrichting,F5.2,,,,3,2,,,Land cover,% Area land (ha),Percentage Land area in hectares (= total surface area minus inland water),1 January,"once a year, with a delay of four months"
